Task,sys_Prompt,Case ID,GT,gpt-5.2-2025-12-11,gpt-5.1-2025-11-13,gpt-5-mini-2025-08-07,Gemini 3.1 pro,
Eurorad,"""You are a careful radiology diagnosis selector.\n""
    ""Given a clinical case description and a finite list of candidate diagnoses,\n""
    ""choose the single most likely final diagnosis FROM THE LIST.\n""
    ""Response rules:\n""
    ""1) Output EXACTLY one option, copied VERBATIM from the list.\n""
    ""2) Output ONLY the diagnosis text. No explanation. No punctuation. No quotes.\n""",18812.0,Nail–patella syndrome,Nail–patella syndrome,Nail–patella syndrome,Nail–patella syndrome,Nail–patella syndrome,
,,18819.0,Pure yolk sac tumour,Pure yolk sac tumour,Pure yolk sac tumour,Mixed germinal cell tumour,Pure yolk sac tumour,
,,18826.0,Tumefactive demyelination with open ring sign,Tumefactive demyelinating lesion,Tumefactive demyelinating lesion,Tumefactive demyelinating lesion,Tumefactive demyelinating lesion,
,,18873.0,Achilles rupture with tennis leg,Achilles rupture with tennis leg,Achilles rupture with tennis leg,Achilles rupture,Achilles rupture with tennis leg,
,,18967.0,Solitary bone plasmacytoma,Lymphoma,Lymphoma,Lymphoma,Lymphoma,
,,18980.0,Usual interstitial pneumonia secondary to connective tissue disorder,Usual interstitial pneumonia due to idiopathic pulmonary fibrosis,Usual interstitial pneumonia due to idiopathic pulmonary fibrosis,Usual interstitial pneumonia due to idiopathic pulmonary fibrosis,Usual interstitial pneumonia secondary to connective tissue disorder,
,,19038.0,Saw-tooth cardiomyopathy,Saw-tooth cardiomyopathy,Saw-tooth cardiomyopathy,Left ventricular noncompaction,Saw-tooth cardiomyopathy,
,,19044.0,Chorea-acanthocytosis,Huntington’s disease,Huntington’s disease,Huntington’s disease,Huntington’s disease,
,,19141.0,Anaplastic meningioma (WHO Grade III),Haemorrhagic meningioma,Anaplastic meningioma (WHO Grade III),Haemorrhagic meningioma,Dural metastasis,
,,19161.0,Mycobacterium kansasii tenosynovitis,Tuberculous tenosynovitis,Tuberculous tenosynovitis,Tuberculous tenosynovitis,Tuberculous tenosynovitis,
Opthalmology,"    ""You are a careful ophthalmology assistant.\n""
    ""You will be given a multiple-choice case with options labeled A–Z.\n""
    ""Some questions may have multiple correct answers, others only one.\n""
    ""Select ALL correct answers. Respond with ONLY the capital letters (A–Z), ""
    ""concatenated without spaces (e.g., 'A', 'BD', 'ACE').\n""
    ""Do not include any explanation or words, only the letters.""",Case ID,GT,Choice,Choice,Choice,Reasoning,Choice
