Model,Admin,Notes,Eurorad (EM),#,Opthalmology (EM),#,NMED Diagnosis (MAE),#,NMED Treatment (MAE),#,,,,,,,,,,,,,,,,,,,
gpt-5-0807 ,Alif,,0.8787878788,3.0,0.7487179487,3.0,0.7663194444444444,1.0,0.6867226890756303,1.0,,,,,,,,,,,,,,,,,,,
deepseek r1-0528 ,Alif,,0.7799,3.0,0.7709,3.0,0.6168,3.0,0.581,3.0,,,,,,,,,,,,,,,,,,,
o4-mini,Alif,,0.8261562998,3.0,0.7307692308,3.0,1.1809027777777779,1.0,0.6329411764705882,1.0,,,,,,,,,,,,,,,,,,,
deepseek r1 ,Alif,,0.8133971292,3.0,0.7641025641,3.0,0.6003472222222223,1.0,0.5942857142857143,1.0,,,,,,,,,,,,,,,,,,,
qwen3-235b,Alif,,0.7878787879,3.0,0.6692307692,3.0,0.44548611111111114,1.0,0.5699159663865546,1.0,,,,,,,,,,,,,,,,,,,
oss-20b (L) ,Alif,,0.7256778309,3.0,0.6128205128,3.0,0.6864583333333333,1.0,0.7699159663865547,1.0,,,,,,,,,,,,,,,,,,,
oss-20b (M),Alif,,0.7416267943,3.0,0.6435897436,3.0,0.6913194444444445,1.0,0.7699159663865547,1.0,,,,,,,,,,,,,,,,,,,
oss-20b (H) ,Alif,,0.7830940989,3.0,0.6512820513,3.0,0.7003472222222222,1.0,0.7640336134453782,1.0,,,,,,,,,,,,,,,,,,,
oss-120b (L) ,Alif,,0.8086124402,3.0,0.7076923077,3.0,0.746875,1.0,0.7598319327731092,1.0,,,,,,,,,,,,,,,,,,,
oss-120b (M) ,Alif,"Better than GPT5, ~DeepSeek",0.8102073365,3.0,0.758974359,3.0,0.7288194444444445,1.0,0.7917647058823529,1.0,,,,,,,,,,,,,,,,,,,
oss-120b (H),Alif,,0.8197767145,3.0,0.7230769231,3.0,0.7288194444444445,1.0,0.7598319327731092,1.0,,,,,,,,,,,,,,,,,,,
Qwen3.5 35B (base),Alhusain,,0.839,3.0,0.7512,3.0,0.472,3.0,0.593,3.0,,,,,,,,,,,,,,,,,,,
Qwen3.5 35B fine-tuned,Alhusain,,0.8712,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
Qwen3.5 9B fine-tuned,Alhusain,,0.8052,3.0,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-5-0807-M1,Alif,,0.8708133971291866,,0.7538461538461538,,,,,,,,,,,,,,,,,,,,,,,,
gpt-5-0807-M2,Alif,,0.8803827751196173,,0.7461538461538462,,,,,,,,,,,,,,,,,,,,,,,,
gpt-5-0807-M3,Alif,,0.8851674641148325,,0.7461538461538462,,,,,,,,,,,,,,,,,,,,,,,,
o4-mini-M1,Alif,,0.8373205741626795,,0.7230769230769231,,,,,,,,,,,,,,,,,,,,,,,,
o4-mini-M2,Alif,,0.8181818181818182,,0.7384615384615385,,,,,,,,,,,,,,,,,,,,,,,,
o4-mini-M3,Alif,,0.8229665071770335,,0.7307692307692307,,,,,,,,,,,,,,,,,,,,,,,,
deepseek r1 0528 v1,Alif,,0.8133971291866029,,0.7538461538461538,,,,,,,,,,,,,,,,,,,,,,,,
deepseek r1 0528 v2,Alif,,0.8133971291866029,,0.7461538461538462,,,,,,,,,,,,,,,,,,,,,,,,
deepseek r1 0528 v3,Alif,,0.8133971291866029,,0.7923076923076923,,,,,,,,,,,,,,,,,,,,,,,,
qwen3-235b v1,Alif,,0.7894736842105263,,0.6846153846153846,,,,,,,,,,,,,,,,,,,,,,,,
qwen3-235b v2,Alif,,0.784688995215311,,0.6615384615384615,,,,,,,,,,,,,,,,,,,,,,,,
qwen3-235b v3,Alif,,0.7894736842105263,,0.6615384615384615,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (L) v1,Alif,,0.7272727272727273,,0.6076923076923076,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (L) v2,Alif,,0.7129186602870813,,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (L) v3,Alif,,0.7368421052631579,,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (M) v1,Alif,,0.7129186602870813,,0.6384615384615384,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (M) v2,Alif,,0.7799043062200957,,0.6538461538461539,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (M) v3,Alif,,0.7320574162679426,,0.6384615384615384,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (H) v1,Alif,,0.7990430622009569,,0.6230769230769231,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (H) v2,Alif,,0.7703349282296651,,0.6615384615384615,,,,,,,,,,,,,,,,,,,,,,,,
oss-20b (H) v3,Alif,,0.7799043062200957,,0.6692307692307692,,,,,,,,,,,,,,,,,,,,,,,,
oss-120b (L) v1,Alif,,0.8133971291866029,,0.6923076923076923,,,,,,,,,,,,,,,,,,,,,,,,
oss-120b (L) v2,Alif,,0.8086124401913876,,0.7076923076923077,,,,,,,,,,,,,,,,,,,,,,,,
oss-120b (L) v3,Alif,,0.8038277511961722,,0.7230769230769231,,,,,,,,,,,,,,,,,,,,,,,,
oss-120b (M) v1,Alif,,0.8038277511961722,,0.7384615384615385,,,,,,,,,,,,,,,,,,,,,,,,
oss-120b (M) v2,Alif,,0.8086124401913876,,0.7615384615384615,,,,,,,,,,,,,,,,,,,,,,,,
oss-120b (M) v3,Alif,,0.8181818181818182,,0.7769230769230769,,,,,,,,,,,,,,,,,,,,,,,,
oss-120b (H) v1,Alif,,0.8181818181818182,,0.7230769230769231,,,,,, ,,,,,,,,,,,,,,,,,,
oss-120b (H) v2,Alif,,0.8181818181818182,,0.7153846153846154,,,,,,,,,,,,,,,,,,,,,,,,
oss-120b (H) v3,Alif,,0.8229665071770335,,0.7307692307692307,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gpt-5.2-2025-12-11,Meng,NMED diagnosis performance is not good,88.92% (± 0.53),3.0,75.63% ( ± 0.59),3.0,0.93 (± 0.04),3.0,0.63 (± 0.03),3.0,,,,,,,,,,,,,,,,,,,
gpt-5.1-2025-11-13,Meng,,87.24% (± 1.0),3.0,75.31% (± 0.3),3.0,0.54 (± 0.02),3.0,0.64 (± 0.02),3.0,,,,,,,,,,,,,,,,,,,
gpt-5-mini-2025-08-07,Meng,,83.00% (± 0.57),3.0,67.33% (± 0.42),3.0,0.84 (± 0.05),3.0,0.59 (± 0.04),3.0,,,,,,,,,,,,,,,,,,,
Gemini 3.1 pro,Meng,,88.93% (± 0.8),3.0,79.24% (± 0.45),3.0,0.51 (± 0.05),3.0,0.57 (± 0.01),3.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qwen3.5 9B, no thinking Temp 0",Omar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qwen3.5 9B, no thinking Temp 0",Omar,80.68% (± 0),80.6763,,,3.0,all these below are no thinking,,all these below are no thinking,,,,,,,,,,,,,,,,,,,,
"Qwen3.5 9B, thinking Temp 0.7",Omar,77.78% ( ± 0.48),78.2609,1.0,0.7,1.0,0.492708,,0.590924,1.0,,,,,,,,,,,,,,,,,,,
"Qwen3.5 9B, thinking Temp 0.7",Omar,,79.2271,1.0,0.738462,1.0,0.492014,,0.585042,1.0,,,,,,,,,,,,,,,,,,,
"Qwen3.5 9B, thinking Temp 0.7",Omar,,78.744,1.0,0.676923,1.0,0.478125,,0.578319,1.0,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Qwen3.5 27B , no thinking",Omar,85.02% (± 0),85.0242,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,
