case_id,model,family,section,ground_truth,prediction,prediction_normalized,differentials,category,justification
18826.0,GPT-5.1,proprietary,Neuroradiology,Tumefactive demyelination with open ring sign,Tumefactive demyelinating lesion,tumefactive demyelinating lesion,"Tumefactive demyelination with open ring sign, Tumefactive demyelinating lesion, CNS neoplasm, Brain metastasis, Brain abscess, Granulomatous disease, Vasculitis, Acute demyelinating encephalitis",c,"The prediction ""Tumefactive demyelinating lesion"" is a different entry on the provided differential list from the correct answer ""Tumefactive demyelination with open ring sign,"" which specifically identifies the characteristic open ring enhancement pattern; both are plausible but the model selected the wrong specific option."
18897.0,GPT-5.1,proprietary,Musculoskeletal system,Central/low-grade osteosarcoma,Liposarcoma,liposarcoma,"Central/low-grade osteosarcoma, Giant cell tumour, Aneurysmal bone cyst, Metastasis, Liposarcoma, Fibrous dysplasia",c,"The prediction ""Liposarcoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the correct diagnosis was ""Central/low-grade osteosarcoma."""
18935.0,GPT-5.1,proprietary,Neuroradiology,Intracranial tuberculoma,High-grade glioma,high-grade glioma,"High-grade glioma, Solitary brain metastasis, Intracranial tuberculoma, Infective aetiology (tuberculous/fungal)",c,"The prediction ""High-grade glioma"" is a plausible differential diagnosis that was on the provided list, but the correct diagnosis was ""Intracranial tuberculoma."""
18967.0,GPT-5.1,proprietary,Musculoskeletal system,Solitary bone plasmacytoma,Lymphoma,lymphoma,"Osteolytic metastasis, Pott’s disease, Solitary bone plasmacytoma, Lymphoma, Chronic osteomyelitis, Primary sarcoma",c,"The prediction ""Lymphoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Solitary bone plasmacytoma."""
18993.0,GPT-5.1,proprietary,Abdominal imaging,Primary hepatic adenosarcoma,Hepatic cholangiocarcinoma,hepatic cholangiocarcinoma,"Hepatic cholangiocarcinoma, Primary hepatic adenosarcoma, Undifferentiated carcinoma (also known as sarcomatoid carcinoma), Hepatic fibroadenoma",c,"The prediction ""Hepatic cholangiocarcinoma"" is a plausible differential diagnosis that was on the provided list, but is incorrect, as the ground truth is ""Primary hepatic adenosarcoma."""
19002.0,GPT-5.1,proprietary,Paediatric radiology,Retroperitoneal ganglioneuroblastoma-intermixed,Ganglioneuroma,ganglioneuroma,"Ganglioneuroma, Neuroblastoma, Retroperitoneal ganglioneuroblastoma-intermixed, Peripheral nerve sheath tumour, Paraganglioma",c,"The prediction ""Ganglioneuroma"" is a plausible differential diagnosis from the provided list, as it belongs to the same neuroblastic tumor spectrum as the ground truth ""Retroperitoneal ganglioneuroblastoma-intermixed,"" but it is the wrong specific entity."
19022.0,GPT-5.1,proprietary,Abdominal imaging,Vesico-appendiceal fistula,Vesico-intestinal fistula,vesico-intestinal fistula,"Vesico-appendiceal fistula, Vesico-intestinal fistula, Vesicovaginal fistula",c,"The prediction ""Vesico-intestinal fistula"" was a plausible differential diagnosis explicitly on the provided list, but the correct answer was the more specific ""Vesico-appendiceal fistula."""
19024.0,GPT-5.1,proprietary,Chest imaging,Usual interstitial pneumonia secondary to connective tissue disorder,Usual interstitial pneumonia due to idiopathic pulmonary fibrosis,usual interstitial pneumonia due to idiopathic pulmonary fibrosis,"Usual interstitial pneumonia due to idiopathic pulmonary fibrosis, Usual interstitial pneumonia secondary to connective tissue disorder, Non-specific interstitial pneumonia, Lymphoid interstitial pneumonia",c,"The prediction ""Usual interstitial pneumonia due to idiopathic pulmonary fibrosis"" is a plausible differential diagnosis on the provided list that shares the same UIP pattern but attributes it to the wrong underlying etiology (idiopathic pulmonary fibrosis instead of connective tissue disorder)."
19044.0,GPT-5.1,proprietary,Neuroradiology,Chorea-acanthocytosis,Huntington’s disease,huntingtons disease,"Chorea-acanthocytosis, Huntington’s disease, Neuroacanthocytosis syndrome",c,"The prediction ""Huntington's disease"" is a plausible differential diagnosis that was on the provided list and shares overlapping clinical features (chorea) with the ground truth ""Chorea-acanthocytosis,"" but is the wrong specific diagnosis."
19058.0,GPT-5.1,proprietary,Abdominal imaging,Intraductal papillary neoplasm of the bile duct with low-grade dysplasia,Cholangiocarcinoma,cholangiocarcinoma,"Intraductal papillary neoplasm of the bile duct, Intraductal papillary neoplasm of the bile duct with low-grade dysplasia, Cholangiocarcinoma, Intraductal biliary metastasis",c,"The prediction ""Cholangiocarcinoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was the lower-grade precursor lesion ""Intraductal papillary neoplasm of the bile duct with low-grade dysplasia."""
19067.0,GPT-5.1,proprietary,Paediatric radiology,Cystic pulmonary tuberculosis,Pneumocystis jirovecii pneumonia,pneumocystis jirovecii pneumonia,"Pneumocystis jirovecii pneumonia, Lymphoid interstitial pneumonia, Langerhans cell histiocytosis, Cystic pulmonary tuberculosis, Lymphangioleiomyomatosis, Birt–Hogg–Dubé syndrome",c,"The prediction ""Pneumocystis jirovecii pneumonia"" is a plausible differential diagnosis that was on the provided list, but is incorrect; the correct diagnosis was ""Cystic pulmonary tuberculosis."""
19086.0,GPT-5.1,proprietary,Abdominal imaging,Oesophageal-vulvar syndrome,Lymphoma,lymphoma,"Lymphoma, Sarcoma, Benign mesenchymal tumour, Oesophageal-vulvar syndrome",c,"The prediction ""Lymphoma"" is a plausible differential diagnosis that was on the provided list, but the correct answer was ""Oesophageal-vulvar syndrome."""
