Clinical specialty,disease_GT,Frequency,Model,Disease_description,HumanEvalScore,gpt5-0807-m1,gpt5-0807-m2,gpt5-0807-m3,gpt-5.1-1113-m1,gpt-5.1-1113-m2,gpt-5.1-1113-m3,gpt-5.2-1211-m1,gpt-5.2-1211-m2,gpt-5.2-1211-m3,gpt-5-mini-0807-m1,gpt-5-mini-0807-m2,gpt-5-mini-0807-m3,o4-mini-m1,o4-mini-m2,o4-mini-m3,gemini-3.1-pro-m1,gemini-3.1-pro-m2,gemini-3.1-pro-m3,deepseek-r1-0528-v1,deepseek-r1-0528-v2,deepseek-r1-0528-v3,oss20b (L) v1,oss20b (L) v2,oss20b (L) v3,oss20b (M) v1,oss20b (M) v2,oss20b (M) v3,oss20b (H) v1,oss20b (H) v2,oss20b (H) v3,oss120b (L) v1,oss120b (L) v2,oss120b (L) v3,oss120b (M) v1,oss120b (M) v2,oss120b (M) v3,oss120b (H) v1,oss120b (H) v2,oss120b (H) v3,qwen3.5 35B v1,qwen3.5 35B v2,qwen3.5 35B v3,qwen3.5 9B v1,qwen3.5 9B v2,qwen3.5 9B v3,qwen3.5 27B v1,qwen3.5 27B v2,qwen3.5 27B v3,gemma4 31B v1,gemma4 31B v2,gemma4 31B v3
Internal Medicine,Diverticulitis,Less Frequent,GPT-4o,"Treatment Task: I am a 52 year old woman and I have a terrible stomach ache. I had something like this 2 years ago! I also feel sick, sweaty and have a fever at 38.2 degrees. The pain is more in the left side of the stomach, more down - kind of a pressure pain. I have been suffering from hypertension and widespread athrosis for a long time. The only medications I take are Ramipril and HCT. My doctor has diagnosed me with Diverticulitis. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Diverticulitis
 
  Model Output:Oral antibiotics (if mild case) – First-line treatment for uncomplicated diverticulitis includes antibiotics such as ciprofloxacin + metronidazole or amoxicillin/clavulanic acid to target gut bacteria.
 
 Hospitalization and intravenous (IV) antibiotics (if severe case) – If the pain worsens, fever rises, or complications (e.g., abscess, perforation) are suspected, hospitalization for IV antibiotics (e.g., ceftriaxone + metronidazole or piperacillin/tazobactam) may be required.
 
 Dietary modifications – Initially, a low-fiber or liquid diet can help reduce bowel irritation. After recovery, a gradual reintroduction of fiber is recommended to prevent future episodes.
 
 Pain management (avoid NSAIDs!) – Since you have widespread osteoarthritis, you may be tempted to take NSAIDs (e.g., ibuprofen), but these can worsen diverticulitis. Instead, acetaminophen (paracetamol) is the preferred pain reliever.
 
 Surgical consultation (if recurrent or complicated cases) – If you experience repeated episodes or develop complications (abscess, perforation, fistula), elective sigmoid resection may be considered to prevent future attacks.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Polymyalgia rheumatica,Less Frequent,GPT-4o,"Treatment Task: I am a 67-year-old woman, a farmer by profession. I have had muscle pain all over for 4 months. I am exhausted and can hardly sleep. At first it was more the neck. Then it moved to the hands. But most of all in the upper arm. But it also goes from my back to the back of my knees. I could hardly move my legs. For example, I have to lift my leg out when I get out of the car. When I get up from a sitting position, I first bend down until I can walk. That's how much it hurt my back. Also in the knees. It was especially bad in my arms at night. I couldn't stretch because there was always a pulling sensation at the bottom. I thought that it came from the stomach. My doctor has diagnosed me with Polymyalgia rheumatica. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Polymyalgia rheumatica
 
  Model Output:Glucocorticoids (Prednisone, initially 15–25 mg daily) – First-line treatment to rapidly reduce inflammation and relieve pain and stiffness, followed by a slow taper over months to prevent relapse.
 
 Calcium and Vitamin D Supplementation – Helps prevent osteoporosis due to long-term steroid use, which increases fracture risk, especially in postmenopausal women.
 
 Methotrexate (or other steroid-sparing immunosuppressants, if needed) – Can be used in cases requiring prolonged steroid therapy to reduce glucocorticoid side effects.
 
 Physical Therapy and Gentle Exercise – Helps maintain mobility, reduce stiffness, and prevent muscle wasting due to decreased activity from pain.
 
 Regular Monitoring (Blood Tests and Bone Density Checks) – CRP/ESR levels should be monitored to track inflammation, and DEXA scans may be needed to assess bone health during steroid therapy.",5,4.5,4,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5.0,5.0,5,4.0,5.0,5,5.0,5.0,5,4.0,4.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Pediatrics,Roseola/Sixth disease,Less Frequent,GPT-4o,"Treatment Task: My one-year-old daughter had a persistent high fever up to 40 degrees. I have already been to the doctor's office and there it was classified as ""uncharacteristic fever"". Other than a reddened throat, I didn't notice anything else. We were prescribed an antibiotic two days ago (clarithromycin) because the fever was still persistent. She responded poorly to paracetamol. Now the fever is finally gone, but a rash has appeared on the abdomen. My doctor has diagnosed me with Roseola/Sixth disease. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Roseola/Sixth disease
 
  Model Output:1. Supportive Care & Hydration
 Ensure adequate fluid intake (breast milk, formula, water, or electrolyte solutions) to prevent dehydration.
 Offer small, frequent meals if appetite is reduced.
 2. Fever Management (If Needed)
 If the fever returns or is high enough to cause discomfort, use:
 Paracetamol (Acetaminophen): Given according to the weight-based dosage (avoid overdosing).
 Ibuprofen (if older than 6 months): Can be used as an alternative if fever is high or paracetamol is ineffective.
 Avoid aspirin (due to the risk of Reye’s syndrome).
 3. Skin Care for Rash
 No specific treatment is needed for the rash, as it typically resolves within a few days.
 Keep skin cool and comfortable with loose, breathable clothing.
 If itching occurs (though rare), calamine lotion or a gentle moisturizer may help.
 4. Rest & Comfort
 Ensure your child gets enough rest.
 Keep the room cool and well-ventilated to avoid overheating.
 Gentle cuddling and soothing can help with post-fever irritability.
 5. Monitor for Complications
 Although rare, febrile seizures can occur in some children due to high fever.
 Watch for signs of dehydration (e.g., dry mouth, fewer wet diapers, extreme lethargy).
 If symptoms worsen (persistent fever, difficulty breathing, lethargy), return to the doctor.",4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5.0,5.0,5,5.0,5.0,4,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,bronchial asthma,Frequent,GPT-4o,"Treatment Task: I am a 63 year old male and have had a cough for over 3 months. At first I thought it was a cold, but it can't last that long! I have been suffering from high blood pressure and coronary heart disease for a long time. I have also had 2 stents in this context. I take Ramipril, Atorvastatin and ASS as medication. Otherwise I am symptom-free. My doctor has diagnosed me with bronchial asthma . What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: bronchial asthma 
 
  Model Output:Switching from Ramipril to an ARB (Angiotensin II Receptor Blocker)
 Why?
 Ramipril (ACE inhibitor) is a common cause of chronic cough due to bradykinin accumulation.
 Since you have hypertension and coronary artery disease, an ARB (e.g., losartan, valsartan, candesartan) would provide similar cardiovascular benefits without causing cough.
 2. Inhaled Corticosteroids (ICS) + Long-Acting Beta-Agonists (LABA)
 Why?
 First-line therapy for asthma, especially in older adults with cardiovascular disease.
 Options:
 ICS alone (if mild asthma):
 Budesonide (Pulmicort)
 Fluticasone (Flovent)
 ICS + LABA (for more persistent symptoms)
 Budesonide + Formoterol (Symbicort)
 Fluticasone + Salmeterol (Advair)
 Note: ICS reduces inflammation, while LABA helps open the airways.
 3. Short-Acting Beta-Agonists (SABA) as Rescue Therapy
 Why?
 Provides quick relief for sudden coughing or breathlessness.
 Option:
 Salbutamol (Ventolin) inhaler, used as needed.
 4. Leukotriene Receptor Antagonists (LTRA)
 Why?
 Can be useful for cough-variant asthma and is an alternative for patients who cannot tolerate ICS.
 Option:
 Montelukast (Singulair), taken once daily.
 5. Pulmonary and Cardiac Monitoring
 Why?
 Since you have a history of coronary artery disease, it's crucial to monitor for any worsening heart symptoms.
 Some asthma medications (like high-dose beta-agonists) can increase heart rate and should be used with caution.
 Follow-ups:
 Spirometry or FeNO test to confirm asthma diagnosis.
 Echocardiogram or cardiac workup if there are any new symptoms like chest pain or shortness of breath.",5,4,3,4.5,5,4,5,3.5,3.5,3,5,5,5,5,4,5,5,5,5,5,5,4,4,4.0,5.0,5,5.0,5.0,5,5.0,4.0,2.5,4.5,3.5,3.5,2.5,2.0,4,4,4,4.5,5,5,5,5,5,5,4.5,5,5,5,5
Neurology,Stroke,Frequent,GPT-4o,"Treatment Task: My husband is 78 years old and since last night he can no longer lift his arm properly and he can no longer walk. My son and I take care of him (care level 2). 3 months ago he was in the hospital because of bleeding with prostate cancer. A certain therapy was discontinued at that time. My doctor has diagnosed me with Stroke. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Stroke
 
  Model Output:Acute Stroke Treatment (if within the time window for intervention)
 
 For Ischemic Stroke: Thrombolysis (alteplase/tPA) if within 4.5 hours of symptom onset, or mechanical thrombectomy if a large vessel occlusion is present and within 24 hours.
 For Hemorrhagic Stroke: Blood pressure management, reversal of anticoagulation (if applicable), and neurosurgical evaluation if needed.
 Stroke Unit Monitoring & Secondary Prevention
 
 Hospital admission for neurological monitoring, blood pressure control, and prevention of complications (e.g., aspiration pneumonia, deep vein thrombosis).
 Medications: Antiplatelets (e.g., aspirin, clopidogrel) for ischemic stroke, statins for cholesterol control, and anticoagulation if atrial fibrillation is present.
 Rehabilitation & Physiotherapy
 
 Early mobilization, physical therapy, and gait training to prevent complications such as muscle atrophy and joint contractures.
 Occupational therapy for arm movement and coordination improvement.
 Speech and Swallowing Therapy (if needed)
 
 If speech or swallowing is affected, a speech therapist can help with communication and dietary modifications to prevent aspiration pneumonia.
 Long-Term Stroke Care & Supportive Measures
 
 Home care adjustments (wheelchair, walker, adapted bathroom) to improve mobility.
 Supportive care for prostate cancer history, as previous bleeding events could influence further stroke prevention (e.g., anticoagulant decisions).",5,5,5,5,5,5,5,4.5,4.5,4.5,4.5,4.5,4.5,5,5,5,5,5,5,5,5,4,3,5.0,5.0,5,5.0,5.0,2,4.5,5.0,3.5,5.0,5.0,2.5,5.0,4.5,1,5,5,4.5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Coronary artery disease,Frequent,GPT-4o,"Treatment Task: I am a 68 year old man and I always have such a twinge in my chest. It is a feeling of pressure in the chest that has been there for 6 weeks. Especially when I exert myself, it stings in there under the breastbone. I am slightly overweight, but otherwise healthy. My doctor has diagnosed me with Coronary artery disease. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Coronary artery disease
 
  Model Output:Anti-anginal medication (symptom relief) – Nitroglycerin (sublingual or spray) can be used to relieve chest pain episodes. Beta-blockers (e.g., metoprolol, bisoprolol) or calcium channel blockers (e.g., amlodipine, diltiazem) can help reduce the heart’s oxygen demand and prevent angina.
 
 Antiplatelet therapy (prevent clot formation) – Aspirin (low-dose, e.g., 75–100 mg daily) is essential to reduce the risk of heart attack. If high risk, clopidogrel may be added.
 
 Cholesterol-lowering therapy (atherosclerosis management) – Statins (e.g., atorvastatin, rosuvastatin) are crucial to lower LDL cholesterol and reduce plaque buildup in the coronary arteries.
 
 Lifestyle modifications (long-term prevention) – Weight management, regular exercise, smoking cessation (if applicable), blood pressure control, and a Mediterranean diet (rich in vegetables, healthy fats, and lean proteins) significantly improve CAD outcomes.
 
 Coronary intervention (if symptoms worsen or high risk) – If symptoms persist despite medication, or if a stress test or angiography shows significant blockages, coronary angioplasty with stent placement or bypass surgery may be necessary.",4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4.5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,4.5,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Internal Medicine,Anaphylaxis/Anaphylactic shock,Less Frequent,GPT-4o,"Treatment Task: Our neighbor is an avid motorcyclist and was stung by a wasp under his leather suit on his way home today. He has quaddle-shaped skin rashes all over his body. My doctor has diagnosed me with Anaphylaxis/Anaphylactic shock. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Anaphylaxis/Anaphylactic shock
 
  Model Output:ntramuscular Epinephrine (Adrenaline, 0.3–0.5 mg IM) – First-line emergency treatment to counteract anaphylaxis by reducing airway swelling, increasing blood pressure, and stabilizing the cardiovascular system.
 
 Airway Management (Oxygen, Intubation if Needed) – If breathing difficulties or airway swelling occur, oxygen therapy or mechanical ventilation may be required.
 
 Intravenous Fluids (Ringer’s Lactate or Normal Saline) – Rapid IV fluid administration is crucial to counteract hypotension and maintain circulation.
 
 Antihistamines (e.g., Clemastine or Diphenhydramine, IV/Oral) – Helps reduce hives (urticaria), itching, and swelling but should only be used as a secondary measure after epinephrine.
 
 Corticosteroids (e.g., Methylprednisolone IV/Oral) – Prevents delayed or biphasic reactions but has a slower onset of action, making it a supportive rather than primary treatment.",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Gynecology,Gonorrhea,Frequent,GPT-4o,"Treatment Task: I am a 28 years old woman and I came back from Thailand 5 days ago. There I celebrated the graduation with some girlfriends. Shortly before leaving, I noticed a greenish discharge, but I ignored it for now. However, in the last few days I have been feeling increasingly worse. I have an elevated temperature of 38 degrees, my entire lower abdomen hurts and I have pain when urinating. My preliminary examinations have so far always been unremarkable. I use contraception with the pill. I met a man in Thailand and had unprotected sex with him after a party. I don't know anything about him except that his name is Pablo and he is from Mexico. I read on the Internet that a fresh HIV infection could also be accompanied by fever and exhaustion. My doctor has diagnosed me with Gonorrhea. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Gonorrhea
 
  Model Output:1. First-Line Therapy (Recommended by WHO & CDC)
 Ceftriaxone 500 mg IM (intramuscular injection) in a single dose
 PLUS Azithromycin 1 g orally in a single dose (if Chlamydia is not ruled out)
 This combination is recommended to cover both Gonorrhea and potential Chlamydia coinfection.
 2. Alternative for Ceftriaxone Allergy
 Gentamicin 240 mg IM in a single dose
 PLUS Azithromycin 2 g orally in a single dose
 This is used if you are allergic to cephalosporins.
 3. Dual Therapy with Oral Option (Less Preferred)
 Cefixime 800 mg orally in a single dose
 PLUS Azithromycin 1 g orally in a single dose
 Cefixime is an oral alternative but is less effective than intramuscular Ceftriaxone.
 4. If Mycoplasma genitalium Coinfection is Suspected
 Moxifloxacin 400 mg orally once daily for 7-10 days
 This is used if persistent symptoms remain after standard gonorrhea treatment and Mycoplasma genitalium is suspected.
 5. Post-Treatment Testing & HIV Prophylaxis Consideration
 Test for Chlamydia, Syphilis, HIV, Hepatitis B & C
 Repeat STI testing in 3 months to check for reinfection
 If high HIV risk (e.g., exposure from a partner of unknown status within the last 72 hours), Post-Exposure Prophylaxis (PEP) should be discussed.",4,1,1,1,3,3,3,2.5,2,2.5,2.5,2.5,2,5,5,5,5,5,5,5,5,4,5,5.0,5.0,3,4.0,3.0,3,5.0,4.0,2.5,4.0,3.5,2.5,4.0,4.0,4,5,4,4.5,4.5,5,4.5,4.5,5,4.5,4.5,4.5,5,5,4.5
Gynecology,HELLP syndrome,Less Frequent,GPT-4o,"Treatment Task: I am a 34 year old woman expecting my first child. I am in the 36+2 SSW. Since yesterday I have been experiencing increasing upper abdominal pain, mainly localized in the right upper abdomen. I also have mild nausea. My husband must have also eaten something bad 2 days ago and is also feeling bad. I am still worried about the child. It is an absolutely desired child. The pregnancy has gone without complications so far. My doctor has diagnosed me with HELLP syndrome. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: HELLP syndrome
 
  Model Output:1. Immediate Delivery (Definitive Treatment)
 Since you are beyond 34 weeks of gestation, delivery is the only definitive treatment.
 Vaginal delivery may be attempted if conditions allow, but C-section is often necessary in cases of worsening maternal or fetal conditions.
 2. Corticosteroids for Fetal Lung Maturity (If Needed)
 If delivery is slightly delayed (e.g., for stabilization), betamethasone or dexamethasone may be given to enhance fetal lung maturity.
 3. Magnesium Sulfate for Seizure Prophylaxis
 To prevent eclampsia (seizures), magnesium sulfate is administered intravenously.
 4. Blood Pressure Management (If Hypertensive)
 Labetalol, Hydralazine, or Nifedipine may be used if severe hypertension (>160/110 mmHg) is present.
 5. Supportive Care (Fluids, Blood Products, Monitoring)
 IV fluids for hydration (carefully managed to avoid fluid overload).
 Blood products (platelets, plasma) if severe thrombocytopenia or coagulopathy occurs.
 Close maternal and fetal monitoring in an intensive care or high-risk obstetric unit.",4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,4.5,5.0,5,5.0,5.0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Gynecology,Endometriosis,Less Frequent,GPT-4o,"Treatment Task: I am a 32 year old woman and have had cycle related lower abdominal pain for over 15 years. In the beginning, the pain was not that severe and I believed it was normal during my period. However, for about 7 years the pain has been almost unbearable. In addition, for about 6 months I have also noticed rectal bleeding during my period. Pain during urination or bowel movements is something I have had almost all the time. I have been treated several times, changed my gynecologist, but no one has been able to help me. They always tell me that I have too much stress. In the meantime, the complaints are also putting a strain on my relationship. Sexual intercourse is extremely unpleasant and our desire to have a child has been unfulfilled for over three years. My doctor has diagnosed me with Endometriosis. What are the most appropriate therapies in my case? Name up to five.
 
  True Disease: Endometriosis
 
  Model Output:Hormonal Therapy
 
 Combined oral contraceptives (COCs) – Can help regulate the cycle and reduce pain.
 Progestins (e.g., dienogest, norethisterone, or medroxyprogesterone acetate) – Reduce estrogen stimulation of endometrial implants.
 GnRH agonists (e.g., leuprorelin, goserelin) – Temporarily induce menopause to shrink endometriotic tissue.
 GnRH antagonists (e.g., elagolix, relugolix) – A newer option that suppresses endometriosis activity with fewer side effects than GnRH agonists.
 Laparoscopic Surgery (Diagnostic and Therapeutic)
 
 Laparoscopic excision or ablation of endometriotic lesions – Can reduce pain and improve fertility.
 Removal of deep infiltrating endometriosis (DIE) lesions – Especially necessary if bowel or bladder involvement is present (due to rectal bleeding and painful urination).
 Pain Management & Symptom Relief
 
 Nonsteroidal anti-inflammatory drugs (NSAIDs, e.g., ibuprofen, naproxen) – To help manage pain and inflammation.
 Neuromodulators (e.g., amitriptyline, gabapentin, pregabalin) – For chronic pain management if necessary.
 Fertility Treatment (If Pregnancy Is Desired)
 
 Assisted reproductive technology (ART) – In vitro fertilization (IVF) may be recommended if conception does not occur naturally after surgery.
 Ovulation stimulation (e.g., letrozole, clomiphene citrate) – If fertility is affected but surgery is not an option.
 Multidisciplinary Support & Lifestyle Modifications
 
 Pelvic physiotherapy – Helps with muscle tension and pain relief.
 Psychological support or counseling – Chronic pain and infertility can be emotionally challenging.
 Anti-inflammatory diet & stress management – May help reduce flare-ups and pain severity.",3.5,5,4.5,4.5,4,5,4,3.5,3.5,3.5,5,5,5,5,5,5,5,5,5,5,5,4.5,3,5.0,5.0,5,5.0,5.0,5,5.0,5.0,5,5.0,5.0,3.5,3.5,4.5,2.5,5,5,5,5,5,5,4.5,4.5,5,5,5,5,5,5
